Project ID,Name,Client,Start Date,End Date,Status,Contract Value,Invoiced Amount,Received Amount,Pending Recovery,Cost to Date,Gross Margin,Margin %
P-101,General Office,Internal,,,Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-102,Marketing Expanse,Internal,,,Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-103,Home & Food,Internal,,,Active,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV-89,Form House H9 ISB,Fouz Energy,,,Active,1363082.0,400000.0,963082.0,,,0.0,0.0
PV-90,Multan PV DG 3 Sites,Al Qamar Energy,,,Active,624500.0,624500.0,0.0,,,0.0,0.0
