Project ID,Name,Client,Start Date,End Date,Status,Contract Value,Invoiced Amount,Received Amount,Pending Recovery,Cost to Date,Gross Margin,Margin %
P-101,General Office,Internal,Active,0.0,N/A,,0.0,0.0
P-102,Marketing Expanse,Internal,Active,0.0,N/A,,0.0,0.0
P-103,Home & Food,Internal,Active,0.0,N/A
PV-89,Form House H9 ISB,Fouz Energy,Active,1363082.0,Abdul Khaliq,Dilawar Hussain 150000,400000.0,963082.0,,9.23005015336E11,Advance Payment Received
PV-90,Multan PV DG 3 Sites,Al Qamar Energy,Active,624500.0,Abdul Khaliq,None,624500.0,0.0,,9.23166535087E11,Material Dispatched
